Accession	Division
Aedes_aegypti	Metazoa
Anopheles_gambiae	Metazoa
Apis_mellifera	Metazoa
Belgica_antarctica	Metazoa
Bombus_terrestris	Metazoa
Brugia_malayi	Metazoa
Caenorhabditis_brenneri	Metazoa
Caenorhabditis_briggsae	Metazoa
Caenorhabditis_elegans	Metazoa
Culex_quinquefasciatus	Metazoa
Danaus_plexippus	Metazoa
Daphnia_magna	Metazoa
Dendroctonus_ponderosae	Metazoa
Dinothrombium_tinctorium	Metazoa
Drosophila_ananassae	Metazoa
Drosophila_melanogaster	Metazoa
Drosophila_mojavensis	Metazoa
Drosophila_pseudoobscura	Metazoa
Drosophila_sechellia	Metazoa
Drosophila_simulans	Metazoa
Drosophila_willistoni	Metazoa
Drosophila_yakuba	Metazoa
Folsomia_candida	Metazoa
Heliconius_melpomene	Metazoa
Ixodes_scapularis	Metazoa
Lepeophtheirus_salmonis	Metazoa
Lingula_anatina	Metazoa
Loa_loa	Metazoa
Lottia_gigantea	Metazoa
Mayetiola_destructor	Metazoa
Megaselia_scalaris	Metazoa
Nasonia_vitripennis	Metazoa
Nematostella_vectensis	Metazoa
Onchocerca_volvulus	Metazoa
Orchesella_cincta	Metazoa
Pediculus_humanus	Metazoa
Pristionchus_pacificus	Metazoa
Schistosoma_mansoni	Metazoa
Solenopsis_invicta	Metazoa
Stegodyphus_mimosarum	Metazoa
Strigamia_maritima	Metazoa
Strongyloides_ratti	Metazoa
Teleopsis_dalmanni	Metazoa
Tetranychus_urticae	Metazoa
Tribolium_castaneum	Metazoa
Trichinella_spiralis	Metazoa
Trichoplax_adhaerens	Metazoa
Zootermopsis_nevadensis	Metazoa
Actinidia_chinensis.Hongyang	Plant
Aegilops_tauschii	Plant
Amborella_trichopoda	Plant
Ananas_bracteatus	Plant
Arabidopsis_halleri	Plant
Arabidopsis_lyrata	Plant
Arabidopsis_thaliana	Plant
Asparagus_officinalis	Plant
Beta_vulgaris	Plant
Brachypodium_distachyon	Plant
Brassica_napus	Plant
Brassica_oleracea	Plant
Brassica_rapa	Plant
Cajanus_cajan	Plant
Camelina_sativa	Plant
Chlamydomonas_reinhardtii	Plant
Citrullus_lanatus.97103	Plant
Cucumis_melo	Plant
Cucumis_sativus.ChineseLong	Plant
Cucurbita_maxima	Plant
Cucurbita_moschata	Plant
Cucurbita_pepo	Plant
Cyanidioschyzon_merolae	Plant
Daucus_carota	Plant
Dioscorea_rotundata	Plant
Eucalyptus_grandis	Plant
Fragaria_orientalis	Plant
Fragaria_vesca	Plant
Fragaria_x_ananassa	Plant
Glycine_max.Williams_82	Plant
Glycine_max.Zhonghuang_13	Plant
Helianthus_annuus	Plant
Leersia_perrieri	Plant
Lupinus_angustifolius	Plant
Malus_x_domestica.HFTH1	Plant
Manihot_esculenta	Plant
Musa_acuminata.Pahang	Plant
Musa_balbisiana	Plant
Musa_schizocarpa	Plant
Nicotiana_attenuata	Plant
Nymphaea_colorata	Plant
Olea_europaea	Plant
Oryza_barthii	Plant
Oryza_brachyantha	Plant
Oryza_glaberrima	Plant
Oryza_glumaepatula	Plant
Oryza_granulata	Plant
Oryza_longistaminata	Plant
Oryza_meridionalis	Plant
Oryza_nivara	Plant
Oryza_punctata	Plant
Oryza_rufipogon	Plant
Oryza_sativa.93-11	Plant
Oryza_sativa.MH63	Plant
Oryza_sativa.Nipponbare	Plant
Oryza_sativa.PA64s	Plant
Oryza_sativa.R498	Plant
Oryza_sativa.ZH11	Plant
Oryza_sativa.ZS97	Plant
Ostreococcus_lucimarinus	Plant
Panicum_hallii.FIL2	Plant
Papaver_somniferum	Plant
Phaseolus_vulgaris.PhaVulg1_0	Plant
Physcomitrella_patens	Plant
Pisum_sativum	Plant
Populus_trichocarpa	Plant
Prunus_avium	Plant
Prunus_dulcis.Texas	Plant
Prunus_persica	Plant
